téta;béta
degré;degré
-77,25;7577,1952
-77,5;7608,695052
-77,75;7640,218232
-78;7671,764421
-78,25;7703,333294
-78,5;7734,924525
-78,75;7766,537785
-79;7798,17274
-79,25;7829,829054
-79,5;7861,506387
-79,75;7893,204397
-80;7924,922736
-80,25;7956,661056
-80,5;7988,419003
-80,75;8020,196219
-81;8051,992344
-81,25;8083,807012
-81,5;8115,639855
-81,75;8147,4905
-82;8179,358571
-82,25;8211,243687
-82,5;8243,145461
-82,75;8275,063506
-83;8306,997426
-83,25;8338,946824
-83,5;8370,911295
-83,75;8402,890433
-84;8434,883824
-84,25;8466,891051
-84,5;8498,911691
-84,75;8530,945316
-85;8562,991493
-85,25;8595,049783
-85,5;8627,119742
-85,75;8659,20092
-86;8691,292862
-86,25;8723,395106
-86,5;8755,507184
-86,75;8787,628622
-87;8819,758941
-87,25;8851,897653
-87,5;8884,044266
-87,75;8916,198279
-88;8948,359185
-88,25;8980,52647
-88,5;9012,699612
-88,75;9044,878083
-89;9077,061345
-89,25;9109,248854
-89,5;9141,440058
-89,75;9173,634395
-90;9205,831297
